    0.296996624869286074E+00    0.600542046320829748E+00    0.299307754874771792E+00    0.299751916184443076E+03
    0.300214468644498134E+00    0.546987233597426403E+00    0.280942161566363091E+00    0.294044598851143917E+03
    0.298243589039629275E+00    0.602262108217115566E+00    0.274915992524577990E+00    0.299958722246164029E+03
    0.309859633311101335E+00    0.647695926972002511E+00    0.256843882193657835E+00    0.299697514545629588E+03
    0.308086857366880129E+00    0.622302755783296857E+00    0.268971233036768065E+00    0.300412729912250597E+03
    0.315537242336609569E+00    0.647370673148096931E+00    0.259101570334395792E+00    0.301892185022801073E+03
    0.315537242336609569E+00    0.647370673148096931E+00    0.259101570334395792E+00    0.301892185022801073E+03
    0.315537242336609569E+00    0.647370673148096931E+00    0.259101570334395792E+00    0.301892185022801073E+03
    0.315537242336609569E+00    0.647370673148096931E+00    0.259101570334395792E+00    0.301892185022801073E+03
    0.315537242336609569E+00    0.647370673148096931E+00    0.259101570334395792E+00    0.301892185022801073E+03
    0.315537242336609569E+00    0.647370673148096931E+00    0.259101570334395792E+00    0.301892185022801073E+03
    0.313312686115315653E+00    0.626800696065380247E+00    0.236109221497191324E+00    0.301228439757583260E+03
    0.313312686115315653E+00    0.626800696065380247E+00    0.236109221497191324E+00    0.301228439757583260E+03
    0.311104915472604382E+00    0.553755340429704423E+00    0.267044832126758280E+00    0.299752864212167708E+03
    0.312240728200212703E+00    0.591531178499268173E+00    0.251658132789256472E+00    0.299535396752255679E+03
    0.305551564296578870E+00    0.622694147515154839E+00    0.272424246766731271E+00    0.300752890855174996E+03
    0.305551564296578870E+00    0.622694147515154839E+00    0.272424246766731271E+00    0.300752890855174996E+03
